,가입일자,연령대코드,성별,가입 수
0,201906,70s,,107798
1,201907,70s,,79457
2,201908,30s,,1
3,201908,70s,,73897
4,201909,70s,,91846
10,201910,60s,,791
5,201910,10s,,10507
6,201910,20s,,34774
7,201910,30s,,17275
8,201910,40s,,10145
9,201910,50s,,4052
11,201910,70s,,6535
12,201910,etc,,12
27,201911,etc,F,5
28,201911,etc,M,13
14,201911,10s,M,3357
26,201911,70s,M,50
25,201911,70s,F,13
24,201911,60s,M,360
13,201911,10s,F,2944
22,201911,50s,M,1406
21,201911,50s,F,791
23,201911,60s,F,118
19,201911,40s,F,1892
18,201911,30s,M,4551
17,201911,30s,F,2962
16,201911,20s,M,7910
15,201911,20s,F,7085
20,201911,40s,M,3058
5,201912,30s,M,1876
0,201912,10s,F,1609
1,201912,10s,M,2219
2,201912,20s,F,2403
3,201912,20s,M,3547
4,201912,30s,F,984
6,201912,40s,F,594
14,201912,etc,F,3
8,201912,50s,F,265
9,201912,50s,M,574
10,201912,60s,F,46
11,201912,60s,M,173
12,201912,70s,F,6
13,201912,70s,M,28
15,201912,etc,M,10
7,201912,40s,M,1290
30,202001,etc,,1
29,202001,70s,M,31
28,202001,70s,F,7
27,202001,60s,M,183
26,202001,60s,F,66
25,202001,50s,M,664
21,202001,30s,M,1810
23,202001,40s,M,1216
22,202001,40s,F,715
20,202001,30s,F,1140
19,202001,20s,M,3688
18,202001,20s,F,2949
31,202001,etc,F,3
24,202001,50s,F,314
32,202001,etc,M,6
17,202001,10s,M,1361
16,202001,10s,F,1253
37,202002,20s,F,4494
55,202002,etc,M,12
54,202002,etc,,65
53,202002,70s,M,31
38,202002,20s,M,4411
51,202002,70s,,6
50,202002,60s,M,193
48,202002,60s,,45
47,202002,50s,M,685
46,202002,50s,F,441
52,202002,70s,F,10
44,202002,40s,M,1349
45,202002,50s,,208
36,202002,20s,,940
35,202002,10s,M,1420
34,202002,10s,F,1513
33,202002,10s,,162
49,202002,60s,F,87
40,202002,30s,F,1511
41,202002,30s,M,2015
42,202002,40s,,315
43,202002,40s,F,966
39,202002,30s,,367
69,202003,50s,F,637
68,202003,50s,,4249
67,202003,40s,M,1460
66,202003,40s,F,1867
65,202003,40s,,8680
64,202003,30s,M,1795
62,202003,30s,,13709
61,202003,20s,M,3060
60,202003,20s,F,5105
59,202003,20s,,42021
57,202003,10s,F,1909
56,202003,10s,,10477
63,202003,30s,F,2030
58,202003,10s,M,1015
76,202003,70s,M,30
73,202003,60s,M,177
72,202003,60s,F,84
79,202003,etc,M,6
78,202003,etc,F,3
71,202003,60s,,878
70,202003,50s,M,673
75,202003,70s,F,17
77,202003,etc,,53
74,202003,70s,,111
103,202004,etc,M,5
102,202004,etc,F,7
100,202004,70s,M,30
98,202004,70s,,189
97,202004,60s,M,199
96,202004,60s,F,106
95,202004,60s,,1382
94,202004,50s,M,751
93,202004,50s,F,622
92,202004,50s,,6341
101,202004,etc,,108
90,202004,40s,F,2033
91,202004,40s,M,1889
80,202004,10s,,13094
81,202004,10s,F,1444
82,202004,10s,M,997
83,202004,20s,,55120
99,202004,70s,F,12
85,202004,20s,M,2899
86,202004,30s,,22010
87,202004,30s,F,2181
88,202004,30s,M,2128
89,202004,40s,,13880
84,202004,20s,F,4029
124,202005,etc,F,1
123,202005,etc,,914
122,202005,70s,,244
121,202005,60s,M,4
120,202005,60s,F,4
119,202005,60s,,1604
118,202005,50s,M,16
117,202005,50s,F,9
116,202005,50s,,7346
113,202005,40s,,16808
114,202005,40s,F,15
112,202005,30s,M,40
111,202005,30s,F,23
109,202005,20s,M,109
108,202005,20s,F,50
106,202005,10s,M,14
105,202005,10s,F,5
104,202005,10s,,13906
115,202005,40s,M,27
110,202005,30s,,26432
107,202005,20s,,59964
21,202006,etc,,9191
23,202006,etc,M,36
22,202006,etc,F,16
0,202006,10s,,412
1,202006,10s,F,5185
3,202006,20s,,2074
4,202006,20s,F,22086
5,202006,20s,M,21507
6,202006,30s,,883
7,202006,30s,F,9602
8,202006,30s,M,11835
2,202006,10s,M,5382
10,202006,40s,F,5936
9,202006,40s,,523
19,202006,70s,F,46
18,202006,70s,,12
17,202006,60s,M,952
16,202006,60s,F,559
20,202006,70s,M,136
15,202006,60s,,75
14,202006,50s,M,3356
13,202006,50s,F,2896
12,202006,50s,,260
11,202006,40s,M,7221
12,202007,70s,F,51
11,202007,60s,M,949
10,202007,60s,F,514
9,202007,50s,M,3165
8,202007,50s,F,2871
5,202007,30s,M,9853
6,202007,40s,F,5576
13,202007,70s,M,121
4,202007,30s,F,8002
3,202007,20s,M,21076
0,202007,10s,F,5279
7,202007,40s,M,6558
1,202007,10s,M,5249
2,202007,20s,F,22530
16,202007,etc,M,27
15,202007,etc,F,13
14,202007,etc,,58945
19,202008,20s,F,8759
18,202008,10s,M,3076
17,202008,10s,F,2684
32,202008,etc,F,6
31,202008,etc,,37864
30,202008,70s,M,78
29,202008,70s,F,31
28,202008,60s,M,562
33,202008,etc,M,29
26,202008,50s,M,1602
25,202008,50s,F,1338
24,202008,40s,M,3062
23,202008,40s,F,2506
22,202008,30s,M,4824
21,202008,30s,F,3598
20,202008,20s,M,10257
27,202008,60s,F,259
50,202009,etc,M,43
49,202009,etc,F,20
48,202009,etc,,66246
47,202009,70s,M,143
46,202009,70s,F,80
45,202009,60s,M,995
44,202009,60s,F,631
40,202009,40s,F,7146
42,202009,50s,F,3708
41,202009,40s,M,6907
