사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2017010200100055,2017년 1월 2일 05시,월요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 젖음/습기,비,기타 - 기타,자전거,남,27세,상해없음,보행자,여,74세,경상
2017010200100060,2017년 1월 2일 06시,월요일,서울특별시 강북구 미아동,중상사고,0,1,0,0,차대차 - 추돌,신호위반,포장 - 젖음/습기,흐림,교차로 - 교차로안,자전거,남,73세,중상,승용,남,39세,상해없음
2017010300100168,2017년 1월 3일 09시,화요일,서울특별시 마포구 합정동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,흐림,교차로 - 교차로안,자전거,여,45세,경상,승용,남,74세,상해없음
2017010300100197,2017년 1월 3일 10시,화요일,서울특별시 영등포구 신길동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,67세,경상,승합,남,35세,상해없음
2017010300100201,2017년 1월 3일 10시,화요일,서울특별시 양천구 신정동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,13세,경상,승합,남,41세,상해없음
2017010300100381,2017년 1월 3일 17시,화요일,서울특별시 송파구 가락동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,41세,경상,승용,남,28세,상해없음
2017010300100484,2017년 1월 3일 20시,화요일,서울특별시 중구 장충동2가,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,31세,상해없음,보행자,여,20세,경상
2017010400100120,2017년 1월 4일 08시,수요일,서울특별시 노원구 상계동,부상신고사고,0,0,0,1,차대차 - 기타,불법유턴,포장 - 건조,맑음,단일로 - 기타,자전거,남,14세,부상신고,승용,여,37세,상해없음
2017010400100141,2017년 1월 4일 09시,수요일,서울특별시 중랑구 면목동,사망사고,1,0,0,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,80세,사망,승용,남,71세,상해없음
2017010400100142,2017년 1월 4일 09시,수요일,서울특별시 노원구 중계동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,29세,상해없음,보행자,여,64세,중상
2017010400100143,2017년 1월 4일 09시,수요일,서울특별시 은평구 역촌동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,82세,경상,,,,
2017010400100261,2017년 1월 4일 13시,수요일,서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,여,44세,경상,화물,남,29세,기타불명
2017010400100298,2017년 1월 4일 15시,수요일,서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,11세,경상,승용,여,33세,상해없음
2017010400100326,2017년 1월 4일 16시,수요일,서울특별시 은평구 응암동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,자전거,남,14세,부상신고,승용,여,49세,상해없음
2017010400100391,2017년 1월 4일 18시,수요일,서울특별시 종로구 통의동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,71세,경상,승합,남,55세,상해없음
2017010400100535,2017년 1월 4일 22시,수요일,서울특별시 노원구 상계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,40세,상해없음,보행자,여,44세,경상
2017010500100321,2017년 1월 5일 17시,목요일,서울특별시 동작구 신대방동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,자전거,여,58세,중상,기타불명,기타불명,미분류,기타불명
2017010500100349,2017년 1월 5일 18시,목요일,서울특별시 영등포구 양평동2가,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,26세,상해없음,보행자,여,57세,중상
2017010500100357,2017년 1월 5일 18시,목요일,서울특별시 양천구 신월동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,자전거,남,12세,기타불명,자전거,남,80세,경상
2017010500100440,2017년 1월 5일 20시,목요일,서울특별시 관악구 봉천동,경상사고,0,0,1,0,차량단독 - 기타,기타,포장 - 기타,기타,단일로 - 기타,자전거,남,50세,경상,,,,
2017010500100532,2017년 1월 5일 23시,목요일,서울특별시 송파구 풍납동,경상사고,0,0,2,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,18세,경상,이륜,남,16세,경상
2017010600100124,2017년 1월 6일 08시,금요일,서울특별시 은평구 불광동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,자전거,남,81세,중상,승용,남,56세,상해없음
2017010600100400,2017년 1월 6일 18시,금요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로횡단보도내,자전거,남,64세,경상,화물,남,57세,상해없음
2017010600100550,2017년 1월 6일 22시,금요일,서울특별시 강서구 염창동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,42세,경상,승용,여,36세,상해없음
2017010700100264,2017년 1월 7일 12시,토요일,서울특별시 성동구 마장동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,28세,상해없음,자전거,남,80세,중상
2017010800100040,2017년 1월 8일 01시,일요일,서울특별시 중랑구 면목동,부상신고사고,0,0,0,1,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,16세,부상신고,이륜,남,48세,상해없음
2017010800100136,2017년 1월 8일 09시,일요일,서울특별시 양천구 신월동,중상사고,0,1,0,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,52세,중상,승용,남,53세,상해없음
2017010800100245,2017년 1월 8일 15시,일요일,서울특별시 성동구 송정동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 기타,맑음,교차로 - 교차로부근,자전거,남,55세,중상,승용,남,30세,상해없음
2017010800100335,2017년 1월 8일 19시,일요일,서울특별시 서초구 잠원동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,20세,부상신고,승용,남,58세,상해없음
2017010800100391,2017년 1월 8일 21시,일요일,서울특별시 영등포구 신길동,부상신고사고,0,0,0,1,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,65세,부상신고,승용,남,52세,상해없음
2017010900100123,2017년 1월 9일 09시,월요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,52세,경상,승용,남,37세,상해없음
2017010900100136,2017년 1월 9일 10시,월요일,서울특별시 중구 황학동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,자전거,여,63세,경상,승용,남,24세,상해없음
2017010900100180,2017년 1월 9일 12시,월요일,서울특별시 영등포구 당산동1가,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,자전거,여,62세,경상,승용,여,38세,상해없음
2017011100100120,2017년 1월 11일 08시,수요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,74세,중상,승용,남,68세,상해없음
2017011100100174,2017년 1월 11일 10시,수요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,68세,경상,화물,남,61세,상해없음
2017011100100320,2017년 1월 11일 15시,수요일,서울특별시 관악구 신림동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,70세,중상,승용,남,62세,상해없음
2017011100100371,2017년 1월 11일 17시,수요일,서울특별시 중랑구 면목동,중상사고,0,1,0,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,자전거,여,68세,중상,승용,남,66세,상해없음
2017011200100119,2017년 1월 12일 08시,목요일,서울특별시 송파구 마천동,사망사고,1,0,0,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,자전거,남,77세,사망,승합,남,69세,상해없음
2017011200100353,2017년 1월 12일 17시,목요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 젖음/습기,맑음,교차로 - 교차로부근,자전거,남,83세,경상,승합,남,55세,상해없음
2017011200100543,2017년 1월 12일 23시,목요일,서울특별시 송파구 송파동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,18세,부상신고,기타불명,기타불명,미분류,기타불명
2017011300100266,2017년 1월 13일 13시,금요일,서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,18세,경상,승용,남,62세,상해없음
2017011300100326,2017년 1월 13일 15시,금요일,서울특별시 관악구 신림동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,46세,경상,승용,남,47세,상해없음
2017011400100410,2017년 1월 14일 18시,토요일,서울특별시 강서구 내발산동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,56세,상해없음,보행자,여,58세,중상
2017011500100224,2017년 1월 15일 14시,일요일,서울특별시 도봉구 도봉동,부상신고사고,0,0,0,1,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,여,41세,부상신고,승용,남,75세,상해없음
2017011500100359,2017년 1월 15일 19시,일요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,여,57세,경상,승용,남,73세,상해없음
2017011700100187,2017년 1월 17일 11시,화요일,서울특별시 용산구 효창동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,15세,부상신고,승용,남,62세,상해없음
2017011700100329,2017년 1월 17일 16시,화요일,서울특별시 송파구 문정동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,31세,중상,화물,남,56세,상해없음
2017011700100395,2017년 1월 17일 18시,화요일,서울특별시 송파구 가락동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,30세,중상,승용,남,69세,상해없음
2017011700100545,2017년 1월 17일 22시,화요일,서울특별시 강서구 방화동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,자전거,남,16세,상해없음,자전거,여,46세,중상
