사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010200100110,2020년 1월 2일 09시,목요일,서울특별시 관악구 신림동,중상사고,0,1,0,0,차대차 - 측면충돌,불법유턴,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,72세,중상,이륜,남,38세,상해없음
2020010200100112,2020년 1월 2일 09시,목요일,서울특별시 구로구 구로동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,13세,기타불명,보행자,여,83세,중상
2020010200100183,2020년 1월 2일 12시,목요일,서울특별시 성북구 동선동1가,경상사고,0,0,2,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,자전거,남,14세,상해없음,보행자,여,76세,경상
2020010200100313,2020년 1월 2일 16시,목요일,서울특별시 도봉구 방학동,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,13세,부상신고,승용,여,66세,상해없음
2020010300100139,2020년 1월 3일 10시,금요일,서울특별시 송파구 잠실동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,자전거,여,52세,부상신고,승용,여,59세,상해없음
2020010300100140,2020년 1월 3일 10시,금요일,서울특별시 구로구 신도림동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,자전거,남,46세,상해없음,보행자,여,59세,경상
2020010300100267,2020년 1월 3일 14시,금요일,서울특별시 성북구 장위동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,9세,경상,화물,남,48세,상해없음
2020010300100415,2020년 1월 3일 18시,금요일,서울특별시 송파구 가락동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,35세,부상신고,승용,남,52세,상해없음
2020010300100470,2020년 1월 3일 19시,금요일,서울특별시 영등포구 당산동6가,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,26세,부상신고,승용,남,61세,상해없음
2020010400100306,2020년 1월 4일 16시,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,64세,경상,자전거,여,20세,상해없음
2020010400100308,2020년 1월 4일 16시,토요일,서울특별시 성동구 성수동1가,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,29세,경상,보행자,남,23세,상해없음
2020010400100463,2020년 1월 4일 21시,토요일,서울특별시 구로구 구로동,경상사고,0,0,2,0,차대사람 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,자전거,남,75세,경상,보행자,여,51세,경상
2020010500100089,2020년 1월 5일 09시,일요일,서울특별시 서대문구 연희동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,26세,부상신고,승용,여,55세,상해없음
2020010500100241,2020년 1월 5일 15시,일요일,서울특별시 영등포구 양평동1가,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,자전거,여,55세,중상,승용,남,82세,상해없음
2020010600100596,2020년 1월 6일 21시,월요일,서울특별시 노원구 공릉동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,자전거,남,57세,중상,승합,남,66세,상해없음
2020010800100090,2020년 1월 8일 07시,수요일,서울특별시 송파구 장지동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,59세,부상신고,화물,남,29세,상해없음
2020010800100123,2020년 1월 8일 08시,수요일,서울특별시 동대문구 전농동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,맑음,교차로 - 교차로안,자전거,여,62세,경상,승용,남,53세,상해없음
2020010800100194,2020년 1월 8일 10시,수요일,서울특별시 강동구 고덕동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,포장 - 젖음/습기,비,교차로 - 교차로부근,자전거,남,85세,경상,승용,여,51세,상해없음
2020010900100044,2020년 1월 9일 06시,목요일,서울특별시 동작구 노량진동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,여,61세,경상,화물,남,52세,상해없음
2020010900100168,2020년 1월 9일 11시,목요일,서울특별시 송파구 가락동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,73세,경상,승용,남,53세,상해없음
2020010900100191,2020년 1월 9일 12시,목요일,서울특별시 동대문구 제기동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,72세,부상신고,승용,남,64세,상해없음
2020010900100377,2020년 1월 9일 18시,목요일,서울특별시 동대문구 전농동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,자전거,남,18세,상해없음,보행자,여,14세,중상
2020010900100442,2020년 1월 9일 19시,목요일,서울특별시 중랑구 면목동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,73세,경상,화물,남,51세,상해없음
2020011000100336,2020년 1월 10일 15시,금요일,서울특별시 서대문구 홍제동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,59세,상해없음,보행자,여,76세,중상
2020011000100538,2020년 1월 10일 20시,금요일,서울특별시 강남구 역삼동,부상신고사고,0,0,0,1,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,자전거,남,67세,부상신고,승용,여,37세,상해없음
2020011100100093,2020년 1월 11일 08시,토요일,서울특별시 영등포구 도림동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,자전거,남,67세,경상,승용,여,55세,상해없음
2020011200100117,2020년 1월 12일 11시,일요일,서울특별시 강남구 대치동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,13세,경상,승용,남,50세,상해없음
2020011200100178,2020년 1월 12일 14시,일요일,서울특별시 영등포구 당산동6가,중상사고,0,2,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,39세,중상,보행자,여,72세,중상
2020011200100227,2020년 1월 12일 16시,일요일,서울특별시 중구 신당동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,70세,경상,승용,남,41세,상해없음
2020011200100257,2020년 1월 12일 17시,일요일,서울특별시 송파구 문정동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,자전거,남,45세,상해없음,보행자,여,32세,경상
