사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2017010100100365,2017년 1월 1일 20시,일요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,원동기,남,22세,상해없음,자전거,남,62세,중상
2017010200100319,2017년 1월 2일 17시,월요일,서울특별시 서대문구 북가좌동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,자전거,남,72세,중상
2017010200100351,2017년 1월 2일 18시,월요일,서울특별시 강서구 등촌동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,맑음,교차로 - 교차로안,승용,남,63세,상해없음,자전거,남,77세,중상
2017010300100250,2017년 1월 3일 12시,화요일,서울특별시 노원구 하계동,부상신고사고,0,0,0,2,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,남,8세,부상신고
2017010400100297,2017년 1월 4일 15시,수요일,서울특별시 송파구 문정동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,자전거,남,12세,중상
2017010400100534,2017년 1월 4일 22시,수요일,서울특별시 강동구 길동,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,자전거,여,67세,중상
2017010500100072,2017년 1월 5일 05시,목요일,서울특별시 송파구 석촌동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,69세,상해없음,자전거,여,50세,경상
2017010500100144,2017년 1월 5일 09시,목요일,서울특별시 강북구 미아동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,자전거,남,63세,경상
2017010500100282,2017년 1월 5일 15시,목요일,서울특별시 서대문구 연희동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,남,61세,상해없음,자전거,남,51세,경상
2017010500100355,2017년 1월 5일 18시,목요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,자전거,남,23세,경상
2017010500100357,2017년 1월 5일 18시,목요일,서울특별시 양천구 신월동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,자전거,남,12세,기타불명,자전거,남,80세,경상
2017010500100403,2017년 1월 5일 19시,목요일,서울특별시 강동구 길동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,자전거,남,33세,경상
2017010600100074,2017년 1월 6일 06시,금요일,서울특별시 서대문구 남가좌동,중상사고,0,1,0,0,차대차 - 추돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,화물,남,36세,상해없음,자전거,남,72세,중상
2017010600100245,2017년 1월 6일 13시,금요일,서울특별시 양천구 신정동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,여,39세,상해없음,자전거,남,8세,경상
2017010600100403,2017년 1월 6일 18시,금요일,서울특별시 구로구 신도림동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,56세,상해없음,자전거,남,9세,중상
2017010600100455,2017년 1월 6일 19시,금요일,서울특별시 송파구 가락동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,31세,상해없음,자전거,여,42세,경상
2017010700100264,2017년 1월 7일 12시,토요일,서울특별시 성동구 마장동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,28세,상해없음,자전거,남,80세,중상
2017010700100380,2017년 1월 7일 17시,토요일,서울특별시 성북구 하월곡동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,자전거,여,57세,경상
2017010700100485,2017년 1월 7일 20시,토요일,서울특별시 노원구 하계동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,57세,상해없음,자전거,여,49세,중상
2017010800100075,2017년 1월 8일 03시,일요일,서울특별시 송파구 신천동,중상사고,0,1,2,0,차대차 - 정면충돌,과속,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,자전거,남,51세,상해없음
