사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010100100101,2020년 1월 1일 08시,수요일,서울특별시 강동구 성내동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,남,43세,상해없음,자전거,남,76세,경상
2020010200100312,2020년 1월 2일 16시,목요일,서울특별시 송파구 잠실동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,여,47세,상해없음,자전거,남,64세,중상
2020010200100341,2020년 1월 2일 17시,목요일,서울특별시 송파구 풍납동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,22세,상해없음,자전거,여,53세,경상
2020010400100045,2020년 1월 4일 03시,토요일,서울특별시 중랑구 상봉동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,여,34세,상해없음,자전거,남,52세,중상
2020010400100306,2020년 1월 4일 16시,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,64세,경상,자전거,여,20세,상해없음
2020010500100263,2020년 1월 5일 16시,일요일,서울특별시 서대문구 홍은동,경상사고,0,0,1,0,차대차 - 추돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,23세,상해없음,자전거,남,69세,경상
2020010800100223,2020년 1월 8일 11시,수요일,서울특별시 도봉구 창동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,70세,상해없음,자전거,남,60세,경상
2020010800100431,2020년 1월 8일 18시,수요일,서울특별시 송파구 장지동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,원동기,남,19세,상해없음,자전거,여,10세,경상
2020010800100546,2020년 1월 8일 21시,수요일,서울특별시 마포구 동교동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,자전거,여,33세,경상
2020010900100002,2020년 1월 9일 00시,목요일,서울특별시 성북구 삼선동5가,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,36세,상해없음,자전거,남,26세,부상신고
