'대여일자','사용자코드','성별','연령대코드','신규가입자수'
'201701','회원-내국인','F','~10대',107
'201701','회원-내국인','M','~10대',92
'201701','회원-내국인','F','20대',773
'201701','회원-내국인','M','20대',851
'201701','회원-내국인','F','30대',256
'201701','회원-내국인','M','30대',451
'201701','회원-내국인','F','40대',157
'201701','회원-내국인','M','40대',295
'201701','회원-내국인','F','50대',56
'201701','회원-내국인','M','50대',117
'201701','회원-내국인','F','60대',10
'201701','회원-내국인','M','60대',36
'201701','회원-내국인','F','70대~',8
'201701','회원-내국인','M','70대~',6
'201701','회원-외국인관광객','F','~10대',3
'201701','회원-외국인관광객','M','~10대',2
'201701','회원-외국인관광객','F','20대',52
'201701','회원-외국인관광객','M','20대',40
'201701','회원-외국인관광객','F','30대',24
'201701','회원-외국인관광객','M','30대',29
'201701','회원-외국인관광객','F','40대',12
'201701','회원-외국인관광객','M','40대',8
'201701','회원-외국인관광객','M','50대',7
'201702','회원-내국인','F','~10대',181
'201702','회원-내국인','M','~10대',173
'201702','회원-내국인','F','20대',1298
'201702','회원-내국인','M','20대',1366
'201702','회원-내국인','F','30대',430
'201702','회원-내국인','M','30대',636
'201702','회원-내국인','F','40대',200
'201702','회원-내국인','M','40대',379
'201702','회원-내국인','F','50대',79
'201702','회원-내국인','M','50대',136
'201702','회원-내국인','F','60대',13
'201702','회원-내국인','M','60대',27
'201702','회원-내국인','F','70대~',13
'201702','회원-내국인','M','70대~',14
'201702','회원-외국인관광객','F','~10대',7
'201702','회원-외국인관광객','M','~10대',4
'201702','회원-외국인관광객','F','20대',46
'201702','회원-외국인관광객','M','20대',31
'201702','회원-외국인관광객','F','30대',40
'201702','회원-외국인관광객','M','30대',31
'201702','회원-외국인관광객','F','40대',16
'201702','회원-외국인관광객','M','40대',21
'201702','회원-외국인관광객','F','50대',2
'201702','회원-외국인관광객','M','50대',3
'201702','회원-외국인관광객','F','60대',1
'201702','회원-외국인관광객','F','70대~',1
'201703','회원-내국인','F','~10대',411
'201703','회원-내국인','M','~10대',300
'201703','회원-내국인','F','20대',5174
'201703','회원-내국인','M','20대',4128
'201703','회원-내국인','F','30대',1622
'201703','회원-내국인','M','30대',2133
'201703','회원-내국인','F','40대',745
'201703','회원-내국인','M','40대',1336
'201703','회원-내국인','F','50대',255
'201703','회원-내국인','M','50대',423
'201703','회원-내국인','F','60대',48
'201703','회원-내국인','M','60대',105
'201703','회원-내국인','F','70대~',237
'201703','회원-내국인','M','70대~',248
'201703','회원-외국인관광객','F','~10대',9
'201703','회원-외국인관광객','M','~10대',7
'201703','회원-외국인관광객','F','20대',132
'201703','회원-외국인관광객','M','20대',89
'201703','회원-외국인관광객','F','30대',62
'201703','회원-외국인관광객','M','30대',54
'201703','회원-외국인관광객','F','40대',28
'201703','회원-외국인관광객','M','40대',26
'201703','회원-외국인관광객','F','50대',10
'201703','회원-외국인관광객','M','50대',14
'201703','회원-외국인관광객','F','60대',4
'201703','회원-외국인관광객','M','60대',6
'201703','회원-외국인관광객','F','70대~',7
'201703','회원-외국인관광객','M','70대~',6
'201704','회원-내국인','F','~10대',819
'201704','회원-내국인','M','~10대',561
'201704','회원-내국인','F','20대',11980
'201704','회원-내국인','M','20대',8386
'201704','회원-내국인','F','30대',3795
'201704','회원-내국인','M','30대',4430
'201704','회원-내국인','F','40대',1455
'201704','회원-내국인','M','40대',2225
'201704','회원-내국인','F','50대',562
'201704','회원-내국인','M','50대',613
'201704','회원-내국인','F','60대',94
'201704','회원-내국인','M','60대',151
'201704','회원-내국인','F','70대~',50
'201704','회원-내국인','M','70대~',43
'201704','회원-외국인관광객','F','~10대',16
'201704','회원-외국인관광객','M','~10대',13
'201704','회원-외국인관광객','F','20대',291
'201704','회원-외국인관광객','M','20대',152
'201704','회원-외국인관광객','F','30대',116
'201704','회원-외국인관광객','M','30대',132
'201704','회원-외국인관광객','F','40대',40
'201704','회원-외국인관광객','M','40대',41
'201704','회원-외국인관광객','F','50대',17
'201704','회원-외국인관광객','M','50대',27
'201704','회원-외국인관광객','F','60대',6
'201704','회원-외국인관광객','M','60대',5
'201704','회원-외국인관광객','M','70대~',1
