구분,10대,20대,30대,40대,50대,60대,70대~,(단위 : 명),
201807,6776,39365,11434,5967,2375,469,98,,
201808,6016,34267,9145,4922,1962,377,79,,
201809,10405,68603,19645,10497,4094,753,136,,
201810,7724,41954,15213,8866,3222,587,112,,
201811,4251,15466,5375,3373,1410,315,51,,
201812,2206,5595,2077,1249,495,134,20,,
201901,1701,6783,2261,1440,691,178,30,,
201902,2287,10455,3091,1982,955,197,27,,
201903,3982,24424,7877,4972,2011,433,71,,
201904,6960,52167,17630,9336,3573,788,109,,
201905,14531,78615,24245,12825,5327,1010,167,,
