가입일자,사용자코드,연령대코드,성별,가입 수
201912,회원-내국인,AGE_001,F,1609
201912,회원-내국인,AGE_001,M,2219
201912,회원-내국인,AGE_002,F,2403
201912,회원-내국인,AGE_002,M,3547
201912,회원-내국인,AGE_003,F,984
201912,회원-내국인,AGE_003,M,1876
201912,회원-내국인,AGE_004,F,594
201912,회원-내국인,AGE_004,M,1290
201912,회원-내국인,AGE_005,F,265
201912,회원-내국인,AGE_005,M,574
201912,회원-내국인,AGE_006,F,46
201912,회원-내국인,AGE_006,M,173
201912,회원-내국인,AGE_007,F,6
201912,회원-내국인,AGE_007,M,28
201912,회원-내국인,AGE_008,F,3
201912,회원-내국인,AGE_008,M,10
202001,회원-내국인,AGE_001,F,1253
202001,회원-내국인,AGE_001,M,1361
202001,회원-내국인,AGE_002,F,2949
202001,회원-내국인,AGE_002,M,3688
202001,회원-내국인,AGE_003,F,1140
202001,회원-내국인,AGE_003,M,1810
202001,회원-내국인,AGE_004,F,715
202001,회원-내국인,AGE_004,M,1216
202001,회원-내국인,AGE_005,F,314
202001,회원-내국인,AGE_005,M,664
202001,회원-내국인,AGE_006,F,66
202001,회원-내국인,AGE_006,M,183
202001,회원-내국인,AGE_007,F,7
202001,회원-내국인,AGE_007,M,31
202001,회원-내국인,AGE_008,,1
202001,회원-내국인,AGE_008,F,3
202001,회원-내국인,AGE_008,M,6
202002,회원-내국인,AGE_001,,162
202002,회원-내국인,AGE_001,F,1513
202002,회원-내국인,AGE_001,M,1420
202002,회원-내국인,AGE_002,,940
202002,회원-내국인,AGE_002,F,4494
202002,회원-내국인,AGE_002,M,4411
202002,회원-내국인,AGE_003,,367
202002,회원-내국인,AGE_003,F,1511
202002,회원-내국인,AGE_003,M,2015
202002,회원-내국인,AGE_004,,315
202002,회원-내국인,AGE_004,F,966
202002,회원-내국인,AGE_004,M,1349
202002,회원-내국인,AGE_005,,208
202002,회원-내국인,AGE_005,F,441
202002,회원-내국인,AGE_005,M,685
202002,회원-내국인,AGE_006,,45
202002,회원-내국인,AGE_006,F,87
202002,회원-내국인,AGE_006,M,193
202002,회원-내국인,AGE_007,,6
202002,회원-내국인,AGE_007,F,10
202002,회원-내국인,AGE_007,M,31
202002,회원-내국인,AGE_008,,65
202002,회원-내국인,AGE_008,M,12
202003,회원-내국인,AGE_001,,10477
202003,회원-내국인,AGE_001,F,1909
202003,회원-내국인,AGE_001,M,1015
202003,회원-내국인,AGE_002,,42021
202003,회원-내국인,AGE_002,F,5105
202003,회원-내국인,AGE_002,M,3060
202003,회원-내국인,AGE_003,,13709
202003,회원-내국인,AGE_003,F,2030
202003,회원-내국인,AGE_003,M,1795
202003,회원-내국인,AGE_004,,8680
202003,회원-내국인,AGE_004,F,1867
202003,회원-내국인,AGE_004,M,1460
202003,회원-내국인,AGE_005,,4249
202003,회원-내국인,AGE_005,F,637
202003,회원-내국인,AGE_005,M,673
202003,회원-내국인,AGE_006,,878
202003,회원-내국인,AGE_006,F,84
202003,회원-내국인,AGE_006,M,177
202003,회원-내국인,AGE_007,,111
202003,회원-내국인,AGE_007,F,17
202003,회원-내국인,AGE_007,M,30
202003,회원-내국인,AGE_008,,53
202003,회원-내국인,AGE_008,F,3
202003,회원-내국인,AGE_008,M,6
202004,회원-내국인,AGE_001,,13094
202004,회원-내국인,AGE_001,F,1444
202004,회원-내국인,AGE_001,M,997
202004,회원-내국인,AGE_002,,55120
202004,회원-내국인,AGE_002,F,4029
202004,회원-내국인,AGE_002,M,2899
202004,회원-내국인,AGE_003,,22010
202004,회원-내국인,AGE_003,F,2181
202004,회원-내국인,AGE_003,M,2128
202004,회원-내국인,AGE_004,,13880
202004,회원-내국인,AGE_004,F,2033
202004,회원-내국인,AGE_004,M,1889
202004,회원-내국인,AGE_005,,6341
202004,회원-내국인,AGE_005,F,622
202004,회원-내국인,AGE_005,M,751
202004,회원-내국인,AGE_006,,1382
202004,회원-내국인,AGE_006,F,106
202004,회원-내국인,AGE_006,M,199
202004,회원-내국인,AGE_007,,189
202004,회원-내국인,AGE_007,F,12
202004,회원-내국인,AGE_007,M,30
202004,회원-내국인,AGE_008,,108
202004,회원-내국인,AGE_008,F,7
202004,회원-내국인,AGE_008,M,5
202005,회원-내국인,AGE_001,,13906
202005,회원-내국인,AGE_001,F,5
202005,회원-내국인,AGE_001,M,14
202005,회원-내국인,AGE_002,,59964
202005,회원-내국인,AGE_002,F,50
202005,회원-내국인,AGE_002,M,109
202005,회원-내국인,AGE_003,,26432
202005,회원-내국인,AGE_003,F,23
202005,회원-내국인,AGE_003,M,40
202005,회원-내국인,AGE_004,,16808
202005,회원-내국인,AGE_004,F,15
202005,회원-내국인,AGE_004,M,27
202005,회원-내국인,AGE_005,,7346
202005,회원-내국인,AGE_005,F,9
202005,회원-내국인,AGE_005,M,16
202005,회원-내국인,AGE_006,,1604
202005,회원-내국인,AGE_006,F,4
202005,회원-내국인,AGE_006,M,4
202005,회원-내국인,AGE_007,,244
202005,회원-내국인,AGE_008,,914
202005,회원-내국인,AGE_008,F,1
