가입일자,사용자코드,연령대코드,성별,가입 수
202006,회원-내국인,AGE_001,,412
202006,회원-내국인,AGE_001,F,5185
202006,회원-내국인,AGE_001,M,5382
202006,회원-내국인,AGE_002,,2074
202006,회원-내국인,AGE_002,F,22086
202006,회원-내국인,AGE_002,M,21507
202006,회원-내국인,AGE_003,,883
202006,회원-내국인,AGE_003,F,9602
202006,회원-내국인,AGE_003,M,11835
202006,회원-내국인,AGE_004,,523
202006,회원-내국인,AGE_004,F,5936
202006,회원-내국인,AGE_004,M,7221
202006,회원-내국인,AGE_005,,260
202006,회원-내국인,AGE_005,F,2896
202006,회원-내국인,AGE_005,M,3356
202006,회원-내국인,AGE_006,,75
202006,회원-내국인,AGE_006,F,559
202006,회원-내국인,AGE_006,M,952
202006,회원-내국인,AGE_007,,12
202006,회원-내국인,AGE_007,F,46
202006,회원-내국인,AGE_007,M,136
202006,회원-내국인,AGE_008,,9191
202006,회원-내국인,AGE_008,F,16
202006,회원-내국인,AGE_008,M,36
