가입일시,사용자코드,연령대코드,성별,가입 수
202007,회원-내국인,AGE_001,F,5279
202007,회원-내국인,AGE_001,M,5249
202007,회원-내국인,AGE_002,F,22530
202007,회원-내국인,AGE_002,M,21076
202007,회원-내국인,AGE_003,F,8002
202007,회원-내국인,AGE_003,M,9853
202007,회원-내국인,AGE_004,F,5576
202007,회원-내국인,AGE_004,M,6558
202007,회원-내국인,AGE_005,F,2871
202007,회원-내국인,AGE_005,M,3165
202007,회원-내국인,AGE_006,F,514
202007,회원-내국인,AGE_006,M,949
202007,회원-내국인,AGE_007,F,51
202007,회원-내국인,AGE_007,M,121
202007,회원-내국인,AGE_008,,58945
202007,회원-내국인,AGE_008,F,13
202007,회원-내국인,AGE_008,M,27
202008,회원-내국인,AGE_001,F,2684
202008,회원-내국인,AGE_001,M,3076
202008,회원-내국인,AGE_002,F,8759
202008,회원-내국인,AGE_002,M,10257
202008,회원-내국인,AGE_003,F,3598
202008,회원-내국인,AGE_003,M,4824
202008,회원-내국인,AGE_004,F,2506
202008,회원-내국인,AGE_004,M,3062
202008,회원-내국인,AGE_005,F,1338
202008,회원-내국인,AGE_005,M,1602
202008,회원-내국인,AGE_006,F,259
202008,회원-내국인,AGE_006,M,562
202008,회원-내국인,AGE_007,F,31
202008,회원-내국인,AGE_007,M,78
202008,회원-내국인,AGE_008,,37864
202008,회원-내국인,AGE_008,F,6
202008,회원-내국인,AGE_008,M,29
202009,회원-내국인,AGE_001,F,6744
202009,회원-내국인,AGE_001,M,6184
202009,회원-내국인,AGE_002,F,24093
202009,회원-내국인,AGE_002,M,21852
202009,회원-내국인,AGE_003,F,10151
202009,회원-내국인,AGE_003,M,11210
202009,회원-내국인,AGE_004,F,7146
202009,회원-내국인,AGE_004,M,6907
202009,회원-내국인,AGE_005,F,3708
202009,회원-내국인,AGE_005,M,3344
202009,회원-내국인,AGE_006,F,631
202009,회원-내국인,AGE_006,M,995
202009,회원-내국인,AGE_007,F,80
202009,회원-내국인,AGE_007,M,143
202009,회원-내국인,AGE_008,,66246
202009,회원-내국인,AGE_008,F,20
202009,회원-내국인,AGE_008,M,43
202010,회원-내국인,AGE_001,F,5132
202010,회원-내국인,AGE_001,M,5085
202010,회원-내국인,AGE_002,F,17681
202010,회원-내국인,AGE_002,M,15995
202010,회원-내국인,AGE_003,F,8506
202010,회원-내국인,AGE_003,M,9322
202010,회원-내국인,AGE_004,F,6480
202010,회원-내국인,AGE_004,M,6671
202010,회원-내국인,AGE_005,F,3322
202010,회원-내국인,AGE_005,M,3186
202010,회원-내국인,AGE_006,F,591
202010,회원-내국인,AGE_006,M,954
202010,회원-내국인,AGE_007,F,60
202010,회원-내국인,AGE_007,M,149
202010,회원-내국인,AGE_008,,105677
202010,회원-내국인,AGE_008,F,22
202010,회원-내국인,AGE_008,M,36
202011,회원-내국인,AGE_001,F,2509
202011,회원-내국인,AGE_001,M,2761
202011,회원-내국인,AGE_002,F,6690
202011,회원-내국인,AGE_002,M,7206
202011,회원-내국인,AGE_003,F,2812
202011,회원-내국인,AGE_003,M,3802
202011,회원-내국인,AGE_004,F,2041
202011,회원-내국인,AGE_004,M,2495
202011,회원-내국인,AGE_005,F,1065
202011,회원-내국인,AGE_005,M,1312
202011,회원-내국인,AGE_006,F,232
202011,회원-내국인,AGE_006,M,442
202011,회원-내국인,AGE_007,F,21
202011,회원-내국인,AGE_007,M,75
202011,회원-내국인,AGE_008,,31556
202011,회원-내국인,AGE_008,F,4
202011,회원-내국인,AGE_008,M,10
202012,회원-내국인,AGE_001,F,2019
202012,회원-내국인,AGE_001,M,2485
202012,회원-내국인,AGE_002,F,2885
202012,회원-내국인,AGE_002,M,3441
202012,회원-내국인,AGE_003,F,1559
202012,회원-내국인,AGE_003,M,2126
202012,회원-내국인,AGE_004,F,1368
202012,회원-내국인,AGE_004,M,1696
202012,회원-내국인,AGE_005,F,764
202012,회원-내국인,AGE_005,M,971
202012,회원-내국인,AGE_006,F,186
202012,회원-내국인,AGE_006,M,387
202012,회원-내국인,AGE_007,F,23
202012,회원-내국인,AGE_007,M,55
202012,회원-내국인,AGE_008,,4790
202012,회원-내국인,AGE_008,F,8
202012,회원-내국인,AGE_008,M,25
202101,회원-내국인,AGE_001,F,1253
202101,회원-내국인,AGE_001,M,1205
202101,회원-내국인,AGE_002,F,2697
202101,회원-내국인,AGE_002,M,3059
202101,회원-내국인,AGE_003,F,1374
202101,회원-내국인,AGE_003,M,1617
202101,회원-내국인,AGE_004,F,931
202101,회원-내국인,AGE_004,M,1266
202101,회원-내국인,AGE_005,F,498
202101,회원-내국인,AGE_005,M,689
202101,회원-내국인,AGE_006,F,147
202101,회원-내국인,AGE_006,M,243
202101,회원-내국인,AGE_007,F,23
202101,회원-내국인,AGE_007,M,46
202101,회원-내국인,AGE_008,F,3
202101,회원-내국인,AGE_008,M,23
