기간	대분류	분류	도보	자전거	자전거+기타교통수단	오토바이	버스(버스간환승포함)	지하철(철도)	버스+지하철	택시	승용차	승용차+버스	승용차+지하철	기타
2017	서울시	서울시	16.1	2.1	0.2	0.5	25.6	12.2	19.4	0.1	22.6	0.5	0.6	0.1
2017	성별	남자	12.4	2.5	0.2	0.7	22.1	11.7	18.5	0.1	30.5	0.5	0.7	0.1
2017	성별	여자	21.6	1.4	0.1	0.2	30.8	12.9	20.8	0.1	11.1	0.3	0.5	0.1
2017	연령별	10대	43.3	4.8	0.2	0.1	33.4	4.8	12.8	-	0.3	0.3	-	-
2017	연령별	20대	9	0.9	0.2	0.5	27.1	18.5	36.5	0	6.7	0.3	0.2	0.1
2017	연령별	30대	6.3	1.1	0	0.7	28	14.1	21.4	0.3	26.8	0.5	0.7	0.2
2017	연령별	40대	11.6	1.4	0.2	0.5	22.9	11.8	15.1	0.1	34.8	0.7	0.9	0.1
2017	연령별	50대	18.5	2.2	0.2	0.6	22.5	8.8	11.7	0.1	34	0.4	1	0
2017	연령별	60대 이상	30.4	4.8	0.3	0.6	23.4	8.7	9.8	0.3	20.9	0.4	0.4	0
2017	학력별	중졸 이하	47.5	4.7	0.2	0.6	24.8	8	7.6	0.3	5.8	0.1	0.3	0
2017	학력별	고졸 이하	29.2	3.8	0.3	0.9	29.9	8.1	11.3	0.2	15.7	0.3	0.3	0
2017	학력별	대졸 이하	7.3	1	0.1	0.3	24.1	14.3	24.5	0.1	26.9	0.5	0.8	0.1
2017	학력별	대학원 이상	7.6	0.7	0.2	0.5	9.8	19.3	20.4	0.1	38.6	1.2	1	0.6
2017	소득별	100 만원 미만	40.5	1.9	-	-	29.4	10.7	14.2	0.7	2.5	-	0.1	-
2017	소득별	100-200만 미만	28.8	3.5	0.3	1.1	33.1	12.5	16.3	0	4.1	0	0	0.2
2017	소득별	200-300만 미만	17.9	2.3	0.2	0.9	30.9	12.8	18.1	0.1	15.9	0.5	0.2	0.2
2017	소득별	300-400만 미만	14.9	2.1	0.2	0.7	26.2	11.6	17.6	0.1	25.3	0.6	0.7	0.1
2017	소득별	400-500만 미만	15.7	1.8	0.2	0.4	26.1	11.5	20.1	0.2	22.7	0.4	1	0
2017	소득별	500만 이상	13.4	1.9	0.1	0.4	22.2	12.5	20.9	0.1	27.2	0.5	0.6	0.1
2017	혼인상태별	기혼	14.6	2.1	0.1	0.6	22.9	10.2	14.1	0.2	33.7	0.7	0.8	0.1
2017	혼인상태별	미혼	15.4	1.7	0.1	0.4	28.8	15.6	27.8	0.1	9.4	0.2	0.3	0.1
2017	혼인상태별	이혼/별거	24	3.6	0.2	0.6	26.8	8.7	14.3	0	20.2	0.3	0.9	0.2
2017	혼인상태별	사별	35.1	4	0.8	0.7	28.7	8.1	9.8	0.2	12.4	0.2	0.1	0.1
2017	지역대분류	도심권	14.6	2	0.1	0.6	30.6	14.1	18.4	0.1	18.1	0.6	0.7	-
2017	지역대분류	동북권	18.1	2.2	0.1	0.6	24.6	13	17.8	0.2	22.4	0.4	0.5	0.1
2017	지역대분류	서북권	16.7	1.9	0	0.7	30.5	12.7	16.7	0	19.9	0.2	0.7	0
