기간	대분류	분류	도보	자전거	자전거+기타교통수단	오토바이	버스	지하철(철도)	버스+지하철	택시	승용차	승용차+버스	승용차+지하철	기타
2020	서울시	서울시	18.2	2.5	0.3	0.9	23.3	14.3	21.2	0.1	16.5	0.9	1.5	0.3
2020	성별	남자	14	2.8	0.4	1.3	19.7	14.6	20.7	0.1	23.1	1	1.9	0.3
2020	성별	여자	23.7	2	0.3	0.2	28.1	13.8	21.7	0.1	8	0.7	1.1	0.3
2020	연령별	10대	48.3	4.9	0.8	-	34.6	2	8.8	-	0.3	0	0.2	-
2020	연령별	20대	13.6	1.5	0.3	0.7	26.1	18.1	34.2	0.1	3.8	0.5	0.7	0.4
2020	연령별	30대	9.9	2.9	0.3	0.5	20.6	19.5	24.9	0.2	17.7	1	2.1	0.3
2020	연령별	40대	12.7	2.5	0.4	0.5	18.3	17	20.1	0.2	23.8	1.6	2.3	0.5
2020	연령별	50대	17.3	2	0.3	1	20.4	11.8	16.8	0.2	26.8	1.1	2.2	0.2
2020	연령별	60대 이상	29.5	2.7	0.1	2.2	27.9	7.3	10.9	0.1	18.2	0.5	0.6	0.1
2020	학력별	중졸 이하	50.7	2.8	0.3	2.6	24.6	4.2	8.2	0.2	5.9	0.1	0.2	0.1
2020	학력별	고졸 이하	27.7	3.2	0.2	1.5	30	8.4	13.6	0.1	14	0.5	0.7	0.2
2020	학력별	대졸 이하	10.8	2.1	0.3	0.4	21.2	17.7	26.2	0.1	17.9	1	1.8	0.4
2020	학력별	대학원 이상	12.8	2.2	1	0.2	10.1	18.8	20.9	0.3	26.4	2.7	4	0.7
2020	소득별	100 만원 미만	30.6	3.7	0.7	1.4	25.8	19	17	0.1	0.2	0.3	0.7	0.5
2020	소득별	100-200만 미만	29.6	1.9	0.3	1.5	27.1	12.8	20.2	0.5	4.2	0.7	0.8	0.4
2020	소득별	200-300만 미만	21	3.5	0.4	1.2	27.4	12.7	20	0.2	10.5	1.4	1.4	0.3
2020	소득별	300-400만 미만	18.5	2.8	0.4	0.8	23.8	14.9	19.8	0.2	16.5	1.1	1.1	0.2
