기간,자치구,자치구(2),합계,합계,자전거전용도로,자전거전용도로,자전거보행자겸용도로,자전거보행자겸용도로,자전거전용차로,자전거전용차로,자전거우선도로,자전거우선도로
2019,도로변,종로구,24,23.7,-,-,6,5.9,10,10.9,8,6.9
2019,도로변,중구,12,15.4,-,-,2,2.4,1,0.7,9,12.3
2019,도로변,용산구,19,22.7,3,2,11,10.6,-,-,5,10.1
2019,도로변,성동구,21,19.9,2,0.6,10,9.2,2,4.8,7,5.3
2019,도로변,광진구,23,29.8,1,0.4,18,25.1,1,0.5,3,3.8
2019,도로변,동대문구,21,23.9,3,1.1,10,7,1,1.4,7,14.4
2019,도로변,중랑구,9,6.6,4,3.2,5,3.4,-,-,-,-
2019,도로변,성북구,8,7.7,1,0.3,5,4.7,1,2.4,1,0.3
2019,도로변,강북구,3,7,-,-,1,2.7,2,4.3,-,-
2019,도로변,도봉구,4,12.3,1,0.7,3,11.6,-,-,-,-
2019,도로변,노원구,25,28.3,1,0.9,17,19.9,7,7.5,-,-
2019,도로변,은평구,18,26.9,-,-,17,24.6,1,2.3,-,-
2019,도로변,서대문구,27,19.4,1,0.4,7,5.9,2,1.9,17,11.2
2019,도로변,마포구,33,34.6,5,4.2,4,5.4,7,5.2,17,19.8
2019,도로변,양천구,28,41,13,20.2,13,15.7,-,-,2,5.1
2019,도로변,강서구,43,41.7,19,17.7,24,24,-,-,-,-
2019,도로변,구로구,14,10.5,2,1,9,8.1,1,0.4,2,1
2019,도로변,금천구,7,8.2,2,3.8,5,4.4,-,-,-,-
2019,도로변,영등포구,47,37,6,3.2,12,5,14,12.6,15,16.2
2019,도로변,동작구,15,13.4,-,-,14,13.1,-,-,1,0.3
2019,도로변,관악구,15,19.5,1,3,5,12.2,-,-,9,4.3
2019,도로변,서초구,28,29,1,2.1,25,24.5,2,2.4,-,-
2019,도로변,강남구,26,52.6,3,3.1,21,48,2,1.5,-,-
2019,도로변,송파구,51,92.6,12,22,38,68.7,1,1.9,-,-
2019,도로변,강동구,33,42.1,5,8.5,27,33,1,0.6,-,-
